experiment,model,nfe,solver,skip_type,num_samples,fid,ctx_frac,warmth
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,3.44921875,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,2.45703125,0.4,1.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,2.615234375,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,2.369140625,0.5,0.2
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,1.9169921875,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,1.74609375,0.6,0.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,1.333984375,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,1.2216796875,0.7,0.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,0.82861328125,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,0.7705078125,0.8,0.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,0.408203125,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,0.39208984375,0.9,0.0
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,0.2218017578125,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,0.225830078125,0.95,0.5
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,0.1219482421875,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,0.128173828125,0.98,0.5
cifar10_cold_fm_0_100,latest,8,midpoint,time_uniform,10000,0.08966064453125,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,8,midpoint,time_uniform,10000,0.07598876953125,0.99,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,38.90625,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,37.03125,0.0,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,19.796875,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,19.3125,0.01,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,15.59375,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,13.375,0.02,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,9.484375,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,6.640625,0.05,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,6.71484375,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,4.4921875,0.1,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,5.03125,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,3.51171875,0.2,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,3.962890625,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,2.9296875,0.3,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,3.123046875,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,2.451171875,0.4,1.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,2.44140625,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,2.228515625,0.5,0.2
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,1.8447265625,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,1.6884765625,0.6,0.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,1.3212890625,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,1.216796875,0.7,0.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,0.85009765625,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,0.7890625,0.8,0.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,0.43310546875,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,0.40869140625,0.9,0.0
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,0.23974609375,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,0.2337646484375,0.95,0.5
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,0.1319580078125,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,0.1292724609375,0.98,0.5
cifar10_cold_fm_0_100,latest,12,midpoint,time_uniform,10000,0.09674072265625,0.99,1.0
new_warmth_scaling_e2e_0_100,latest,12,midpoint,time_uniform,10000,0.07757568359375,0.99,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,38.125,0.0,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,34.84375,0.0,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,16.96875,0.01,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,18.328125,0.01,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,13.0703125,0.02,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,12.7109375,0.02,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,7.8515625,0.05,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,6.43359375,0.05,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,5.59375,0.1,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,4.4140625,0.1,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,4.30859375,0.2,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,3.478515625,0.2,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,3.525390625,0.3,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,2.91796875,0.3,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,2.865234375,0.4,1.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,2.447265625,0.4,1.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,2.296875,0.5,0.2
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,2.11328125,0.5,0.2
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,1.7890625,0.6,0.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,1.640625,0.6,0.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,1.3154296875,0.7,0.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,1.212890625,0.7,0.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,0.8720703125,0.8,0.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,0.80517578125,0.8,0.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,0.45947265625,0.9,0.0
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,0.4267578125,0.9,0.0
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,0.260009765625,0.95,0.5
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,0.2418212890625,0.95,0.5
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,0.14453125,0.98,0.5
new_warmth_scaling_e2e_0_100,latest,20,midpoint,time_uniform,10000,0.1309814453125,0.98,0.5
cifar10_cold_fm_0_100,latest,20,midpoint,time_uniform,10000,0.10693359375,0.99,1.0
